leftImg,rightImg,middle,corrAns
resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/RedBoat.png,m
resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/BlueBoat.png,m
resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/RedRabbit.png,z
resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/BlueRabbit.png,z
