left_arrow,right_arrow,empty,middle,corrAns,condition,blockfile,dummy_trial.thisRepN,dummy_trial.thisTrialN,dummy_trial.thisN,dummy_trial.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,blockn.thisRepN,blockn.thisTrialN,blockn.thisN,blockn.thisIndex,thisRow.t,notes,JS_code.started,JS_code.stopped,instruction_1.started,wecomle_resp.started,instruction_1.stopped,instruction_2.started,text.started,image_8.started,image_9.started,image_10.started,sound_2.started,key_resp_10.started,instruction_2.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,instruction_2_1.started,image_11.started,image_12.started,image_13.started,text_5.started,sound_3.started,key_resp_5.started,instruction_2_1.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,instruction_2_2.started,image_14.started,image_15.started,image_16.started,text_6.started,sound_4.started,key_resp_6.started,instruction_2_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instruction_2_3.started,image_17.started,image_18.started,image_19.started,text_7.started,sound_5.started,key_resp_7.started,instruction_2_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,instruction_2_4.started,image_20.started,image_21.started,image_22.started,text_8.started,sound_6.started,key_resp_8.started,instruction_2_4.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_2_5.started,image_27.started,image_29.started,text_9.started,sound_7.started,image_30.started,key_resp_11.started,instruction_2_5.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,Instructions_3.started,image_49.started,key_resp_16.started,Instructions_3.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.duration,inter_trial_interval.started,inter_trial_interval.stopped,ISIcode.started,ISIcode.stopped,ISI,type,fixation.started,image_35.started,image_33.started,image_34.started,image_35.stopped,image_33.stopped,image_34.stopped,fixation.stopped,Cue.started,image_38.started,image_36.started,image_37.started,Cue.stopped,Stim.started,image_39.started,image_41.started,image.started,image_2.started,key_resp_2.started,image_39.stopped,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,Feedback.started,image_42.started,image_3.started,image_43.started,sound_9.started,Feedback.stopped,UpdateAccuracy.started,UpdateAccuracy.stopped,continueStatus.started,key_resp_18.started,continueStatus.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.duration,Main_Exp_Instructions.started,key_resp_9.started,Main_Exp_Instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,ISIcode_test.started,ISIcode_test.stopped,finish.started,text_3.started,finish.stopped,编号,主试ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06494625800405629,0.06559252701117657,0.06560997600900009,0.12703079701168463,1.8362101660168264,1.8458162310125772,1.9587383950129151,1.9587383950129151,1.9587383950129151,1.9587383950129151,1.8705608164076695,1.9587383950129151,3.4678900220023934,space,1.5074560279899742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-05-17_17h55.17.787,Flanker,2023.2.2,78.81028188024156,2024-05-17 17h56.13.361500 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4779809399915393,3.5436592120095156,3.5436592120095156,3.5436592120095156,3.5436592120095156,3.4950535282143393,3.5436592120095156,4.464170635008486,z,0.9183199650142342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-05-17_17h55.17.787,Flanker,2023.2.2,78.81028188024156,2024-05-17 17h56.13.361500 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.474747030995786,4.59865851799259,4.59865851799259,4.59865851799259,4.59865851799259,4.488495700195198,4.59865851799259,5.066474893013947,m,0.4624068789999001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-05-17_17h55.17.787,Flanker,2023.2.2,78.81028188024156,2024-05-17 17h56.13.361500 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.076629959017737,5.173008946992923,5.173008946992923,5.173008946992923,5.173008946992923,5.090901395207037,5.173008946992923,5.978493283007992,m,0.8000638950034045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-05-17_17h55.17.787,Flanker,2023.2.2,78.81028188024156,2024-05-17 17h56.13.361500 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.987667342007626,6.045256426994456,6.045256426994456,6.045256426994456,6.045256426994456,6.003279673215001,6.045256426994456,6.732622904994059,z,0.6827522929816041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-05-17_17h55.17.787,Flanker,2023.2.2,78.81028188024156,2024-05-17 17h56.13.361500 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.742493341007503,6.798035940009868,6.798035940009868,6.798035940009868,6.757230613194405,6.798035940009868,6.798035940009868,7.43392998399213,space,0.6334869049896952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-05-17_17h55.17.787,Flanker,2023.2.2,78.81028188024156,2024-05-17 17h56.13.361500 +0800,
img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,congruent,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,8.1123081970145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.444756279990543,7.521258782013319,7.521258782013319,8.068180525995558,space,0.5442111800075509,None,8.089800587011268,8.890220150002278,8.890235233004205,8.89085693800007,1.498997995991984,exercise,8.891645052004606,8.913979459000984,8.913979459000984,8.913979459000984,10.431011544016656,10.431011544016656,10.431011544016656,10.402377010002965,10.402407966990722,10.431011544016656,10.431011544016656,10.431011544016656,11.411142685014056,11.411158385017188,12.363929723011097,12.363929723011097,12.363929723011097,12.363929723011097,12.363929723011097,12.474539677990833,12.960822626017034,z,1,0.5925476050178986,None,12.961419427010696,13.741997748991707,13.741997748991707,13.741997748991707,13.664387302828255,17.973791994008934,17.973819842998637,17.975242051004898,,,,,,,,,,,,,,,,,,11,11,2024-05-17_17h55.17.787,Flanker,2023.2.2,78.81028188024156,2024-05-17 17h56.13.361500 +0800,
img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,congruent,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,17.99898580700392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.97610504401382,18.787232019996736,18.78725277999183,18.790629310009535,1.4869739478957915,exercise,18.791140445013298,18.81539743000758,18.81539743000758,18.81539743000758,20.31662635001703,20.31662635001703,20.31662635001703,20.293562131992076,20.293629569991026,20.31662635001703,20.31662635001703,20.31662635001703,21.297771281009773,21.29820676500094,22.673765935003757,22.673765935003757,22.673765935003757,22.673765935003757,22.673765935003757,22.77409634401556,23.278203013993334,m,1,0.600815434998367,None,23.278754785016645,24.41682155500166,24.41682155500166,24.41682155500166,24.410032055783088,28.288131751003675,28.288244132010732,28.292368446011096,,,,,,,,,,,,,,,,,,11,11,2024-05-17_17h55.17.787,Flanker,2023.2.2,78.81028188024156,2024-05-17 17h56.13.361500 +0800,
img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,incongruent,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,28.31865700299386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.29282641899772,29.097048005001852,29.097082608001074,29.097846616990864,1.4539078156312626,exercise,29.098261320003076,29.123996868991526,29.123996868991526,29.123996868991526,30.601411942014238,30.601411942014238,30.601411942014238,30.57244729201193,30.572639746009372,30.601411942014238,30.601411942014238,30.601411942014238,31.573601309006335,31.57362568200915,32.932165322999936,32.932165322999936,32.932165322999936,32.932165322999936,32.932165322999936,33.043618797993986,33.58771987000364,m,1,0.6504015579994302,None,33.588484873995185,34.79923634199076,34.79923634199076,34.79923634199076,34.7050966546929,38.59025236600428,38.59036073900643,38.59392927499721,,,,,,,,,,,,,,,,,,11,11,2024-05-17_17h55.17.787,Flanker,2023.2.2,78.81028188024156,2024-05-17 17h56.13.361500 +0800,
img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,incongruent,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,38.62696431201766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.59437455001171,39.400846478994936,39.400950606999686,39.40210010600276,1.0100200400801604,exercise,39.40302847899147,39.42541350799729,39.42541350799729,39.42541350799729,40.459415858989814,40.459415858989814,40.459415858989814,40.43341335700825,40.43344352999702,40.459415858989814,40.459415858989814,40.459415858989814,41.43919264699798,41.43928758701077,42.84025515799294,42.84025515799294,42.84025515799294,42.84025515799294,42.84025515799294,42.94764884299366,43.57526406800025,z,1,0.7208995249820873,None,43.57592249699519,44.694985050009564,44.694985050009564,44.694985050009564,44.68113115158049,48.585851558018476,48.58588799499557,48.5878870190063,,,,,,,,,,,,,,,,,,11,11,2024-05-17_17h55.17.787,Flanker,2023.2.2,78.81028188024156,2024-05-17 17h56.13.361500 +0800,
